El-Qalqachandi,والبرهانين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdelhaq-Es-Soubâți ,والبرهانين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En-Nuairi,ابو البركات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-ben-Mahmoud-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya,الصنهاجيّ,قاضى,فقيهاً,فهّاماً,درّاكاً,ثاقب,الذهن,عقلاء,الناس,ودهانهم,القضاء,ورياسة,دنيا,المنطق,البيان,والمنطق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Agîb-ben-Mahmoud-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya,الصنهاجيّ,قاضى,مسدّداً,ثبتاً,صليباً,قوىّ القلب,مقداماً,فراسته,نافذة,مجدوداً,التحرّى,والتوقّى,مهيباً,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Baikouri' ,والشيخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-'Aqît-ben-Abdallah-El-Ansammani,المسوفيّ,فقيه,نبيه,ذكيّ الفهم,وقّاد الذهن,بالعلم,ذراية,والصواب معه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Belbâli ,الحافظ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abu-Bekr-ben-Ahmed-Bîr-ben-'Omar-ben-Mohammed-Aqît,تمبكتيّ,خيراً,صيّتاً,ورعاً,زاهداً,تقيًّا,اوّاهاً,وليًّا,مباركاً,الصلاح,ظاهر,الزهد,والورع,والبرّ,متين,الدين,الصدقة,والعطاء,مبرزاً,الخير,جليلة,الخوف,والمراقبة,صالحى,وزهد,عظيم,الجاه,التصوّف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed-ben-Ahmed-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya,الفقيه,العالم,درّاكاً,متفنّناً,محدّثاً,اصوليًّا,بيانيًّا,منطقيًّا,رقيق,عظيم,الجاه,الحرمة,يغلظ,الانقياد,وينقادون,مشهور,القدر,والجلالة,محبًّا,متواضعاً,منصفاً,جمّاعاً,المنطق,شرحاً,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud-ben-'Omar,بركة العصر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youcef,والشريف,تلميذ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakariya  (3),الشيخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-Baghyo'o,العلّامة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad,كالفقيهين,الصالحين,شيخنا,الاصول,والبيان,والمنطق,الفقيهان ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed,كالفقيهين,الصالحين,الاصول,والبيان,والمنطق,الفقيهان ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud-Baghyo'o,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdallah,والفقيهين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abderrahman,والفقيهين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud (2),الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed-ben-Mohammed-ben-Sa'id,فقيه,عالم,محصّل,مدرّس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud-ben-'Omar,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-ben-Mahmoud-ben-'Abu-Bekr,الونكريّ,التنبكتيّ,شيخا,وبركتنا,الفقيه,العالم,المتفنّن,الصالح,العابد,الناسك,صالحي,خيار,والعلماء,العاملين,مطبوعاً,الخير,وحسن,النيّة,وسلامة,الخير,ويتفجع,العلم,العجب العجائب,محبّته,صبر,الفقيه,صبره,العبادة,العفّة,والمسكنة,اقوى,سكينة,ووقار,وحسن,وحياء,محبًّا,مادحاً,ومثنياً,بالخير,صادقاً,طويل الروح,تشبّثه,الاقراء,درّاكاً,ذكيًّا,فطناً,حاضر,سريع الفهم,منوّر,البصيرة,سكوناً,صموتاً,وقوراً,جودة,الفهم,وسرعة,الادراك,معروفاً,سيدي,الاصول,والبيان,والمنطق,اخيراً,شيخ,دروسه,لانصافه,وتواضعه,وقبوله,الحقّ
Ahmed-ben-Mohammed-ben-Said,سيّدي,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed (2),الفقيه,الصالح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youcef-El-Aumayouni,والشريف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Barahamouchi ,الحنفيّ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-El-Bekri ,والامام,ابو,المكارم,ولّي الله,القطب,الجامع,سيدي,المباركة,السيدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abou-Abdallah,الشيخ,الفقيه,الولّي,الصالح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moaddib-Mohammed-El-Kâbari,القاضى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abderrahman (2),الولّي,الزاهد,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud (3),الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moaddib-Mohammed-El-Kâbari,الشيخ,الفقيه,القاضى,شيخ,الشيوخ,العلم,والصلاح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abderrahman-Et-Temîmi,الاشياخ,الفقيه,سيدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habîb,القاضى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anda-Ag-Mohammed ,والفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud (2),الفقيه,القاضى,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Omar-ben-Mohammed-Aqît,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahya-ben-Abderrahim-ben-'Abderrahman-Ets-Tsa'alebi-ben-Yahia-El-Bekkaï-ben-'Abou'l-Hasan-'Ali-ben-Abdallah-ben-Abdeldjebbâr-ben-Temim-ben-Hormoz-ben-Hâtem-ben-Qosaï-ben-Youcef-ben-Youch'a-ben-Ouard-ben-Battâl-ben-Ahmed-ben-Mohammed-ben-Aïssa-ben-Mohammed-ben-El-Hasan-ben-'Ali-ben-'Abou-Tâleb (Yahya-Et-Tâdelsi) (Yahya),والعلّامة,القطب,سيدي,الشيخ,الامام,الولّي,العارف,القدوة,المكاشف,القطب,الغوث,الجامع,السالك,السيدي,الشريف,الربّانيّ,سيّدي,الشيخ,سيّدي,وسيدي,غاية,الأكرام,اماماً,الغاية,القصوى,ذكره,العلم,والصلاح,والولاية,بركاته,كرامات,ومكاشفات,وسيدي,افضل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Omar-Anda-Ag-Mohammed-Aqît,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Hadj-Ahmed-ben-'Omar-ben-Mohammed-Aqît ,ولّي الله,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Amin-ben-Ahmed,شيخنا,الزاهد,الفقيه,شيخنا,الزاهد,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abderrahman (3),الفقيه,الشيخ,المبارك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-Naddi,تنبكتك,الشيخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud (3),ابو,البركات,الفقيه,القاضى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abou-Zeïd-'Abderrahman,الولّي,الزاهد,الفقيه,الواعظ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud (4),الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abderrahman-Et-Temîmi,سيدّي,الفقه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habib (2),القاضى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masira-Bobo-Ez-Zoghrâni,الشيخ,عالماً,فضلاً,خيراً,صالحاً,عابداً,بالصلاح,يحسن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud-ben-'Omar,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abderrahman (4),الواعظ,الزاهد,الفقيه,شيخه,الفقيه,الشيخ,شيخه,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud (3),الفقيه,الفقيه,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abou-Abdallah-Mohammed -ben-Mohammed-ben-'Ali-ben-Mousa ('Oriân-er-râs (Bare Head)),الشيخ,العارف,بالله,الولّي,المكاتفَ,صاحب,الكرامات,الفقيه,عباد,الله,الصالحين,زاهداً,سخياً,المباركة,المباركين,الشيخ,المبارك,سيّدي,السيدي,السيدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed-ben-El-Hâdj -Ahmed-ben-'Omar-ben-Mohammed-Aqît,الفقيه,العلّامة,الحافظ,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed (3),الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-Baba,شيخنا,العلّامة,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Amin,الفقيه,شيخنا,الفقيه,الذاكر,الفقيه,شيخنا,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud-ben-Ahmed-ben-'Abderrahman,القاضى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Amin-ben-Ahmed,الفقيه,العالم,الزاهد,الصالح,التقيّ,الورع,شيخنا,المجتهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Abderrahman-ben-Ahmed,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Omar-ben-Mohammed-ben-'Omar,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed-Moghya,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed (4),والفقيه,القاضى,سيدي,والسيدي,سيّدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud-Baghyo'o,الشيخ,العلّامة,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
