Omar-Anda-Ag-Mohammed,الاسلام بركة,الفقيه,,,,,,,,,,,,,
Baba-Masira-Bir,والشيخ,الفاضل,الفقيه,,,,,,,,,,,,
Mohammed,القاضى,عالماً,جليلاً,فهاماً,ذكيا,الفهم,والدهاءة,والعقل,,,,,,,
Mahmud,اب البركات,الفقيه,,الفقيه,,,,,,,,,,,
El-Aqib,القاضى,عالماً,جليلاً,ثاقب,الذهن,قوى,القلب صليب,,,,,,,,
Abu-Hafs-'Omar,القاضى,علم,الحديث,والسير,والتواريخ,والام,الفقه,,,,,,,,
Abdullah,عالم,فقيه,مدرس,متقلل,,,,,,,,,,,
Abu-Zeid-Abderrahman,الشيخ,الصالح,الولي,الناصح,العارف,الناسك,العابد,الزاهد,الورع,الواعظ,فقياً,عالماً,معرضاً,,
Abu-'l-'Abbâs-Ahmed,الفقيه,العالم,الربانى,الولى,الصالح,بالعلم,والسيادة,والورع,والصلاح,,,,,,
Mohammed-Es-Sa'id,الفقيه,وحضر,,,,,,,,,,,,,
Omar (4),الفقيه,,,,,,,,,,,,,,
Mahmud (2),الفقيه,الفقيه,الفقيه,,,,,,,,,,,,
Mohammed-Baghyo'o-El-Ouankori,الفقيه,,,,,,,,,,,,,,
Ahmed-Baghyo'o,الفقيه,,,,,,,,,,,,,,
Ko'ti,الفقيه,,,,,,,,,,,,,,
Mohammed-Kibba,الفقيه,,,,,,,,,,,,,,
Abu-Bekr-ben-Ahmed-ben-Bir,الفقيه,العالم,فاضلاً,خيراً,تقياً,صالحاً,,,,,,,,,
Abu-'l-'Abbas-Ahmed-Baba,الفقيه,العالم,العلامة,فريد,دهره,البارع,العلم,واجتهد,العلم,برع,بالعلم,الفتوى,وقاناً,الحق,الفقيه
Ahmed,الفقيه,الشيوخ,المباركين,الشيخ,المصحف,العلم,الصالح,,,,,,,,
Ibrahim-ben-Abou-Bekr,الفقيه,,,,,,,,,,,,,,
El-Hâdj,القاضى,,,,,,,,,,,,,,
Sâlih-Takounni,الفقيه,صالح,,,,,,,,,,,,,
El-Amîn-ben-Ahmed,شيخنا,الزاهد,الفقيه,,,,,,,,,,,,
Abderrahman,الفقيه,,,,,,,,,,,,,,
Abu 'l-'Abbâs-Ahmed-ben-Mohammed-ben-'Otsmân-ben-Abdallah-ben-Abou-Y'aqoub,السيد,العالم,الفقيه,اللغوي,النحوي,المتفان,علوم,لادب,والاشعار,بالعلم,,,,,
